Comune,Latitudine,Longitudine,# Pazienti,# Accessi,Popolazione
ALFONSINE,"44,50590","12,04307",68,721,11722
BAGNACAVALLO,"44,41974","11,97668",118,1188,16579
BAGNARA DI ROMAGNA,"44,38951","11,82485",18,174,2427
BAGNO DI ROMAGNA,"43,83911","11,96561",39,339,5746
BELLARIA-IGEA MARINA,"44,13436","12,46672",97,1122,19373
BERTINORO,"44,14923","12,13515",61,668,10984
BORGHI,"44,03158","12,35537",19,161,2879
BRISIGHELLA,"44,22181","11,76905",35,297,7326
CASOLA VALSENIO,"44,22376","11,62382",17,179,2511
CASTEL BOLOGNESE,"44,32126","11,79543",46,692,9559
CASTELDELCI,"43,79211","12,15353",7,71,381
CASTROCARO TERME E TERRA DEL SOLE,"44,18535","11,95946",31,256,6304
CATTOLICA,"43,96332","12,73843",98,815,16922
CERVIA,"44,26355","12,34768",177,1903,28639
CESENA,"44,13964","12,24643",579,6868,97135
CESENATICO,"44,20085","12,40520",150,1927,26050
CIVITELLA DI ROMAGNA,"44,00659","11,94206",19,148,3690
CONSELICE,"44,51510","11,82853",48,405,9659
CORIANO,"43,96389","12,60336",59,539,10502
COTIGNOLA,"44,38353","11,94342",51,473,7361
DOVADOLA,"44,12345","11,88449",9,74,1569
FAENZA,"44,28985","11,87741",338,3516,58508
FORLI',"44,22274","12,04073",738,7442,118020
FORLIMPOPOLI,"44,18791","12,12853",79,872,13210
FUSIGNANO,"44,46693","11,96396",49,444,8126
GALEATA,"43,99635","11,91012",11,74,2415
GAMBETTOLA,"44,11699","12,34292",58,618,10674
GATTEO,"44,10982","12,38584",52,543,9278
GEMMANO,"43,90494","12,58023",12,73,1129
LONGIANO,"44,07511","12,32797",45,393,7196
LUGO,"44,42183","11,91168",203,1850,31883
MAIOLO,"43,88155","12,24372",5,54,799
MASSA LOMBARDA,"44,44791","11,82292",53,467,10438
MELDOLA,"44,12703","12,06078",64,570,9931
MERCATO SARACENO,"43,95980","12,19665",41,592,6891
MISANO ADRIATICO,"43,98255","12,69469",83,883,13541
MODIGLIANA,"44,15800","11,79088",23,133,4413
MONDAINO,"43,84177","12,65033",5,52,1350
MONTEFIORE CONCA,"43,87919","12,61014",9,89,2228
MONTEGRIDOLFO,"43,85848","12,68790",6,55,998
MONTESCUDO-MONTE COLOMBO,"43,92127","12,55373",35,307,6828
MONTIANO,"44,08264","12,30480",11,120,1717
MORCIANO DI ROMAGNA,"43,91115","12,64794",34,224,7121
NOVAFELTRIA,"43,89091","12,28823",34,277,7098
PENNABILLI,"43,81765","12,26600",18,159,2695
POGGIO TORRIANA,"43,99060","12,38649",27,205,5186
PORTICO E SAN BENEDETTO,"44,02546","11,78080",5,37,743
PREDAPPIO,"44,10673","11,98160",36,267,6180
PREMILCUORE,"43,97585","11,77701",6,29,730
RAVENNA,"44,41836","12,20353",869,8051,157878
RICCIONE,"43,99930","12,65555",251,2606,35033
RIMINI,"44,06783","12,56952",847,8310,149519
RIOLO TERME,"44,27638","11,73069",35,364,5656
ROCCA SAN CASCIANO,"44,06159","11,84189",11,120,1800
RONCOFREDDO,"44,04231","12,31847",18,150,3397
RUSSI,"44,36994","12,01169",55,396,12161
SALUDECIO,"43,87437","12,66839",17,155,3035
SAN CLEMENTE,"43,93302","12,63310",30,201,5626
SAN GIOVANNI IN MARIGNANO,"43,94016","12,70932",62,374,9452
SAN LEO,"43,89662","12,34323",9,112,2867
SAN MAURO PASCOLI,"44,10676","12,41435",66,724,12077
SANT'AGATA FELTRIA,"43,84104","12,18614",14,174,2058
SANT'AGATA SUL SANTERNO,"44,43942","11,86341",14,202,2924
SANTA SOFIA,"43,94730","11,90854",20,223,4091
SANTARCANGELO DI ROMAGNA,"44,06336","12,45239",137,1248,22205
SARSINA,"43,91970","12,14491",19,231,3364
SAVIGNANO SUL RUBICONE,"44,09368","12,40074",79,765,17885
SOGLIANO AL RUBICONE,"44,00330","12,29828",15,98,3156
SOLAROLO,"44,35681","11,83216",20,205,4486
TALAMELLO,"43,91052","12,28341",10,45,1076
TREDOZIO,"44,08612","11,74841",13,146,1149
VERGHERETO,"43,79333","12,00400",8,60,1788
VERUCCHIO,"43,98342","12,42245",61,678,10022
